"1.1","1","1.4","1.2+1.3",""
"1.2","1","1.4","1.1+1.3",""
"1.3","1","1.4","1.1+1.2",""
"1.4","1","","","1.1"
"10.1","10","10.2+10.3+10.4+10.5+10.6","",""
"10.2","10","","10.3+10.4+10.5+10.6","10.1"
"10.3","10","","10.2+10.4+10.5+10.6","10.1"
"10.4","10","","10.2+10.3+10.5+10.6","10.1"
"10.5","10","","10.2+10.3+10.4+10.6","10.1"
"10.6","10","","10.2+10.3+10.4+10.5","10.1"
"11.1","11","11.2","",""
"11.10","11","","11.5+11.6+11.7+11.8+11.9+11.11","11.3+11.4"
"11.11","11","","11.5+11.6+11.7+11.8+11.9+11.10","11.3+11.4"
"11.2","11","11.3+11.4","","11.1"
"11.3","11","11.5+11.6+11.7+11.8+11.9+11.10+11.11","11.4","11.2"
"11.4","11","11.5+11.6+11.7+11.8+11.9+11.10+11.11","11.3","11.2"
"11.5","11","","11.6+11.7+11.8+11.9+11.10+11.11","11.3+11.4"
"11.6","11","","11.5+11.7+11.8+11.9+11.10+11.11","11.3+11.4"
"11.7","11","","11.5+11.6+11.8+11.9+11.10+11.11","11.3+11.4"
"11.8","11","","11.5+11.6+11.7+11.9+11.10+11.11","11.3+11.4"
"11.9","11","","11.5+11.6+11.7+11.8+11.10+11.11","11.3+11.4"
"12.1","12","12.2","",""
"12.2","12","12.3","","12.1"
"12.3","12","12.4","","12.2"
"12.4","12","","","12.3"
"2.1","2","2.2","",""
"2.2","2","2.3+2.4+2.5+2.6","","2.1"
"2.3","2","","2.4+2.5+2.6","2.2"
"2.4","2","","2.3+2.5+2.6","2.2"
"2.5","2","","2.3+2.4+2.6","2.2"
"2.6","2","","2.3+2.4+2.5","2.2"
"3.1","3","3.2","",""
"3.2","3","3.3","","3.1"
"3.3","3","","3.4+3.5+3.6+3.7+3.8","3.2"
"3.4","3","","3.3+3.5+3.6+3.7+3.8","3.2"
"3.5","3","","3.3+3.4+3.6+3.7+3.8","3.2"
"3.6","3","","3.3+3.4+3.5+3.7+3.8","3.2"
"3.7","3","","3.3+3.4+3.5+3.6+3.8","3.2"
"3.8","3","","3.3+3.4+3.5+3.6+3.7","3.2"
"4.1","4","4.2","",""
"4.2","4","4.3","","4.1"
"4.3","4","","4.4+4.5","4.2"
"4.4","4","","4.5","4.2"
"4.5","4","","4.4","4.2"
"5.1","5","5.2","",""
"5.2","5","5.3","","5.1"
"5.3","5","","5.4+5.5","5.2"
"5.4","5","","5.5","5.3"
"5.5","5","","5.4","5.3"
"6.1","6","","6.2+6.3+6.4+6.5",""
"6.2","6","","6.1+6.3+6.4+6.5",""
"6.3","6","","6.1+6.2+6.4+6.5",""
"6.4","6","","6.1+6.2+6.3+6.5",""
"6.5","6","","6.1+6.2+6.3+6.4",""
"7.1","7","7.2","",""
"7.2","7","7.3+7.4+7.5+7.6+7.7","","7.1"
"7.3","7","7.8","7.4+7.5+7.6+7.7","7.2"
"7.4","7","7.8","7.3+7.5+7.6+7.7","7.2"
"7.5","7","7.8","7.3+7.4+7.6+7.7","7.2"
"7.6","7","7.8","7.3+7.4+7.5+7.7","7.2"
"7.7","7","7.8","7.3+7.4+7.5+7.6","7.2"
"7.8","7","","7.9","7.3+7.4+7.5+7.6+7.7"
"7.9","7","","7.8","7.3+7.4+7.5+7.6+7.7"
"8.1","8","8.2","",""
"8.2","8","8.3+8.4+8.5+8.6","","8.1"
"8.3","8","","8.4+8.5+8.6","8.2"
"8.4","8","","8.3+8.5+8.6","8.2"
"8.5","8","","8.3+8.4+8.6","8.2"
"8.6","8","","8.3+8.4+8.5","8.2"
"9.1","9","","9.2+9.3",""
"9.2","9","","9.1+9.3",""
"9.3","9","9.4+9.5+9.6","9.1+9.2",""
"9.4","9","9.7","9.5+9.6","9.1+9.2+9.3"
"9.5","9","9.7","9.4+9.6","9.1+9.2+9.3"
"9.6","9","9.7","9.4+9.5","9.1+9.2+9.3"
"9.7","9","","","9.4+9.5+9.6"
